CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
167832.00,1274026.00,34275.00,1283750.00,25560.00,1292465.00,629428.00,881877.00,81102.00,4326730.00,,339371.00,93213.00,432584.00,18304303.00,3006146.00,8046388.00,13264061.00,8692.00,1536760.00,778059.00,2287249.00,971877.00,16902944.00,,,,315449.00,,1670225.00,1985674.00,23647932.00,117867.00,,,1522337.00,185599.00,219077.00,348955.00,309119.00,79392.00,77646.00,,2959782.00,872204.00,6691978.00,3095730.00,20284.00,16058.00,1053426.00,2055087.00,6240585.00,2156207.00,,2083855.00,4240062.00,,,1.00,,1.00,1847251.00,1847252.00,4628055.00,6475307.00,,6475307.00,23647932.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2001,1
170378.41,,,9333.34,,9333.34,24640.72,9490.96,703.98,214547.40,,,7.15,7.15,430680.14,34991.79,81689.99,383981.95,,41145.88,11424.52,,,436552.35,2713.95,3765.37,-1051.42,18.00,502159.68,1592.76,503770.44,1153825.91,68897.61,,,6939.44,2696.85,,5948.83,5818.17,1964.73,5334.14,,5152.31,42521.09,145273.15,123420.14,,,,1325.74,124745.88,9599.43,,,9599.43,,,0.10,,0.10,767896.24,767896.34,106311.11,874207.45,,874207.45,1153825.91,20366,EV,ExpressJet Airlines LLC d/b/a aha!,EV,Atlantic Southeast Airlines,06085,D,2,2,2001,3
178660.14,,,5019.97,,5019.97,23024.60,2905.31,821.48,210431.49,,,8.15,8.15,523801.16,28896.50,64062.51,488635.16,,16438.91,19183.48,,,524257.55,16538.57,10700.58,5837.99,18.00,498735.67,1354.42,500108.08,1240643.26,13821.12,,140006.13,8096.17,3835.43,,6549.04,6042.69,2555.50,4524.83,,4506.32,45577.27,235514.50,119063.58,,,,1360.12,120423.70,24853.32,,,24853.32,,,0.10,,0.10,767896.24,767896.34,91955.41,859851.75,,859851.75,1240643.26,20366,EV,ExpressJet Airlines LLC d/b/a aha!,EV,Atlantic Southeast Airlines,06085,D,2,2,2001,4
193995.50,,6467.21,,,6467.21,20982.29,11419.41,422.16,233286.57,,,5.15,5.15,342265.07,29532.34,75617.34,296180.07,,41145.88,9552.35,,,346878.30,2720.27,1613.60,1106.67,18.00,505581.49,1659.24,507258.73,1088535.42,11641.55,,,6430.27,2001.56,,4652.47,5544.93,2152.24,3610.81,,5605.17,39338.56,80977.56,128349.74,,,,1380.90,129730.64,14409.42,,,14409.42,,,0.10,,0.10,767896.24,767896.34,95521.47,863417.80,,863417.80,1088535.42,20366,EV,ExpressJet Airlines LLC d/b/a aha!,EV,Atlantic Southeast Airlines,06085,D,2,2,2001,2
199268.59,112633.55,521.19,166712.15,19059.57,148173.77,13857.86,13117.14,,487050.92,3203.74,42971.41,,46175.15,1365427.49,47493.81,316577.71,1096343.58,,,245951.52,5826.50,314.87,1347806.74,,,,35207.08,,,35207.08,1916239.89,44551.11,,,13895.51,,1382.61,4231.81,1773.32,22706.07,-21984.14,,,66533.39,133089.67,934921.70,,517.01,4130.60,145002.54,1084571.85,53078.24,,201039.28,254117.52,,,,,,304304.79,304304.79,140156.06,444460.85,,444460.85,1916239.89,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06087,D,2,2,2001,4
214801.98,,,8410.27,350.94,8059.33,15423.07,20481.14,313.57,259079.09,,,5.15,5.15,273648.01,46511.53,48396.33,271763.21,,37031.00,-15784.62,,,293009.59,2728.07,2728.07,,18.01,508998.88,1704.42,510721.31,1062815.14,10217.46,,,2665.50,2880.25,,3927.43,5199.73,1343.44,1572.25,,4971.08,32807.76,65584.91,87391.98,,,,1360.40,88752.37,14435.46,,,14435.46,,,0.10,,0.10,767896.24,767896.34,126146.06,894042.40,,894042.40,1062815.14,20366,EV,ExpressJet Airlines LLC d/b/a aha!,EV,Atlantic Southeast Airlines,06085,D,2,2,2001,1
217987.00,1193609.00,24963.00,1512446.00,27424.00,1509985.00,661843.00,864346.00,69262.00,4517032.00,,344309.00,83830.00,428139.00,18649848.00,3053625.00,8233792.00,13469681.00,8692.00,1482826.00,782360.00,2493529.00,993938.00,17243150.00,,,,314850.00,,1667731.00,1982581.00,24170902.00,167634.00,,,1495700.00,212448.00,239916.00,442421.00,334424.00,70032.00,120711.00,,3045197.00,903869.00,7032352.00,3902225.00,21087.00,16211.00,1002747.00,2081289.00,7023559.00,2034553.00,,2047242.00,4081795.00,,,1.00,,1.00,1847251.00,1847252.00,4185944.00,6033196.00,,6033196.00,24170902.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2001,2
236431.47,122714.27,518.73,114453.95,12592.78,102379.90,13609.10,12232.53,,487367.27,,44459.27,,44459.27,1407748.74,47207.72,301865.44,1153091.03,,,233331.85,5826.50,314.87,1391934.51,,,,30125.56,,,30125.56,1953886.61,61209.85,,,8644.20,,1569.02,4031.28,1593.32,23103.27,-34.07,,,56562.78,156679.64,966562.45,,590.95,4755.11,92829.76,1064738.26,29840.35,,204371.29,234211.64,,,382.31,,382.31,305847.43,306229.74,192187.53,498417.27,160.21,498257.06,1953886.61,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06087,D,2,2,2001,3
299942.48,34633.14,514.65,99816.09,24832.08,75498.66,13186.21,13886.29,,437146.77,,113818.93,,113818.93,1373720.18,46844.52,279502.08,1141062.62,,51612.76,163690.56,5826.50,314.87,1361877.58,,,,13676.15,22219.44,,35895.59,1948738.87,56565.70,,,4507.01,,1569.02,4753.41,1413.32,24267.33,-43.47,,,41912.04,134944.36,971551.97,,183.64,4755.11,102768.43,1079259.16,24194.03,,207720.98,231915.01,,,382.31,,382.31,305914.21,306296.52,196323.82,502620.34,,502620.34,1948738.87,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06087,D,2,2,2001,2
333839.77,59955.66,512.43,111085.53,14416.42,97181.55,12531.80,14928.51,1082.92,519520.20,,95196.87,,95196.87,1397629.93,40128.11,261188.38,1176569.67,,132724.13,54175.11,5826.50,322.09,1368973.31,,,,19054.52,,23039.83,42094.35,2025784.73,55388.96,,,-837.23,,1002.05,29449.99,1583.32,24051.68,2860.41,,,38009.57,151508.76,977320.63,,682.36,4479.73,4582.99,987065.71,62779.14,,273399.08,336178.22,,,382.28,,382.28,305871.12,306253.39,246526.57,552779.96,1747.91,551032.05,2025784.73,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06087,D,2,2,2001,1
490232.00,170373.00,45865.00,94118.00,1815.00,138168.00,37844.00,68120.00,,904737.00,944.00,765.00,137.00,1846.00,1793688.00,290033.00,552251.00,1531470.00,6874.00,87095.00,8398.00,44381.00,35942.00,1642276.00,64812.00,14333.00,50479.00,125904.00,,16450.00,142354.00,2741692.00,40096.00,,,198501.00,2840.00,3140.00,26761.00,38583.00,8347.00,9723.00,,219522.00,152700.00,700213.00,851501.00,,25849.00,11763.00,145669.00,1034782.00,150486.00,,165788.00,316274.00,,,1.00,,1.00,324850.00,324851.00,365572.00,690423.00,,690423.00,2741692.00,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,06031,D,3,3,2001,4
751949.00,4903.00,,1376677.00,,1376677.00,148803.00,314877.00,614469.00,3211678.00,2333608.00,317603.00,54895.00,2706106.00,16884813.00,4275749.00,6891129.00,14269433.00,33191.00,278893.00,-222444.00,483800.00,334386.00,14508487.00,1092977.00,1031007.00,61970.00,384017.00,322027.00,544913.00,1250957.00,21739198.00,36814.00,,-22.00,86719.00,231428.00,40302.00,992628.00,265536.00,122055.00,381491.00,6928.00,1787632.00,1670814.00,5622325.00,5624511.00,,273121.00,93807.00,2849285.00,8840724.00,1122733.00,,837948.00,1960681.00,233218.00,,268125.00,,501343.00,732957.00,1234300.00,6743101.00,7977401.00,2661933.00,5315468.00,21739198.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2001,1
931596.00,,5021.00,677186.00,21668.00,660539.00,250065.00,135698.00,190703.00,2168601.00,-41951.00,176153.00,,134202.00,4753066.00,693450.00,1002270.00,4444246.00,15770.00,537067.00,283885.00,417442.00,178696.00,5519714.00,,,,,,1629544.00,1629544.00,9452061.00,342096.00,,,837909.00,80562.00,28163.00,105783.00,160575.00,76831.00,24064.00,,1368422.00,138799.00,3163204.00,3467603.00,,9546.00,248780.00,242656.00,3968585.00,869591.00,,210652.00,1080243.00,,,801.00,,801.00,871617.00,872418.00,1507934.00,2380352.00,1140323.00,1240029.00,9452061.00,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,01220,D,3,3,2001,2
932772.00,,4083.00,626432.00,16239.00,614276.00,238712.00,157591.00,137743.00,2081094.00,-26310.00,155774.00,,129464.00,4638541.00,640380.00,952781.00,4326140.00,15770.00,466875.00,262738.00,393919.00,173916.00,5291526.00,,,,,,1628291.00,1628291.00,9130375.00,335079.00,,,807169.00,82328.00,23865.00,107916.00,158418.00,75390.00,20058.00,,1356143.00,152783.00,3119149.00,3395960.00,,9546.00,234721.00,242594.00,3882821.00,780694.00,,195311.00,976005.00,,109694.00,790.00,,790.00,834110.00,834900.00,1456328.00,2291228.00,1138828.00,1152400.00,9130375.00,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,01220,D,3,3,2001,1
1052321.00,,5509.00,497820.00,25625.00,477704.00,233920.00,187020.00,134726.00,2085691.00,4256.00,157211.00,,161467.00,5356596.00,836645.00,1170589.00,5022652.00,17052.00,454491.00,177590.00,441668.00,191557.00,5921896.00,,,,,,1572853.00,1572853.00,9741907.00,328130.00,,,924311.00,82026.00,24672.00,342699.00,155277.00,70689.00,39973.00,,1024198.00,172295.00,3164270.00,3927729.00,,36815.00,263614.00,242781.00,4470939.00,710989.00,,244250.00,955239.00,,,886.00,,886.00,1071754.00,1072640.00,1219142.00,2291782.00,1140323.00,1151459.00,9741907.00,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,01220,D,3,3,2001,4
1118749.00,,5062.00,516364.00,26326.00,495100.00,247004.00,129622.00,171526.00,2162001.00,-2429.00,164860.00,,162431.00,5125397.00,742689.00,1079857.00,4788229.00,17052.00,537952.00,232112.00,433428.00,185096.00,5823677.00,,,,,,1582004.00,1582004.00,9730113.00,320226.00,,,891041.00,66503.00,26831.00,146762.00,157219.00,86206.00,33529.00,,1125520.00,163624.00,3017461.00,3828748.00,,9546.00,256357.00,242719.00,4337370.00,855429.00,,272129.00,1127558.00,,,805.00,,805.00,884638.00,885443.00,1502604.00,2388047.00,1140323.00,1247724.00,9730113.00,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,01220,D,3,3,2001,3
1216098.00,4903.00,,1363981.00,,1363981.00,151271.00,309353.00,607132.00,3652738.00,2342769.00,434756.00,54997.00,2832522.00,17332310.00,3434509.00,7048673.00,13718146.00,33191.00,251590.00,691083.00,483871.00,344928.00,14832953.00,1059044.00,999109.00,59935.00,333253.00,317379.00,556147.00,1206779.00,22584927.00,23248.00,800000.00,,102801.00,224893.00,40341.00,1025422.00,284821.00,53333.00,392562.00,57.00,1726939.00,1820629.00,6495046.00,5551418.00,,260583.00,89531.00,2916987.00,8818519.00,1165073.00,,827609.00,1992682.00,231288.00,,271242.00,,502530.00,3266940.00,3769470.00,4237532.00,8007002.00,2728322.00,5278680.00,22584927.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2001,2
1819424.00,4903.00,,1133328.00,,1133328.00,141083.00,184538.00,585446.00,3868722.00,2283371.00,95647.00,504364.00,2883382.00,17797621.00,3831621.00,7568230.00,14061012.00,33192.00,151318.00,639923.00,382309.00,262591.00,15005163.00,1692653.00,1614738.00,77915.00,280682.00,310218.00,605691.00,1196591.00,23031773.00,224723.00,625000.00,,117504.00,191202.00,30953.00,760547.00,314627.00,88863.00,651661.00,-328.00,1204003.00,1969723.00,6178478.00,7948318.00,,392739.00,68463.00,3133840.00,11543360.00,389870.00,,828005.00,1217875.00,255406.00,6278210.00,271247.00,,526653.00,3264262.00,3790915.00,3022593.00,6813508.00,2721448.00,4092060.00,23031773.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2001,4
2375998.00,4903.00,,1250354.00,,1250354.00,152558.00,294327.00,542962.00,4621102.00,2276877.00,194492.00,545811.00,3017180.00,17451663.00,3813859.00,7221561.00,14043961.00,33192.00,223412.00,615162.00,483895.00,355388.00,15044234.00,1434346.00,1364152.00,70194.00,296755.00,314138.00,584411.00,1195304.00,23948014.00,171127.00,1250000.00,,90427.00,217864.00,42182.00,821435.00,303705.00,130472.00,679367.00,6886.00,1527683.00,1886223.00,7127371.00,7146897.00,,216104.00,74198.00,2916986.00,10354185.00,688936.00,,847500.00,1536436.00,256724.00,6312292.00,271254.00,,527978.00,3259695.00,3787673.00,3863596.00,7651269.00,2721247.00,4930022.00,23948014.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2001,3
