CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
70901.00,,,47079.00,,47079.00,36818.00,278.00,,155076.00,,,,,160335.00,72868.00,55496.00,177707.00,,2813.00,,15004.00,1381.00,194143.00,,,,,,34248.00,34248.00,383467.00,,,,62984.00,,1921.00,5175.00,5640.00,-1.00,5120.00,,,589.00,81428.00,,517663.00,,8101.00,,525764.00,,,3142.00,3142.00,,,,,,15000.00,15000.00,-241867.00,-226867.00,,-226867.00,383467.00,20374,XE,ExpressJet Airlines Inc.,RU,ExpressJet Airlines Inc.,06187,D,2,2,2001,1
70941.10,,,206558.44,7701.80,198856.65,87105.39,72420.52,148688.93,578012.57,95415.13,39033.37,,134448.50,417133.69,163350.50,181763.73,398720.46,580.72,67156.29,16267.68,224882.82,148037.32,559570.64,7294.16,4118.76,3175.40,60170.64,3123.34,780912.89,844206.86,2119413.97,492467.76,,,245903.62,-4680.94,34542.23,77586.48,69738.28,21067.09,16392.74,,269815.79,385622.48,1608455.53,388503.86,,16287.92,83268.14,575701.67,1063761.58,11000.00,,25258.71,36258.71,68.93,6892.79,788.52,,857.44,733169.30,734026.75,-1323088.60,-589061.85,,-589061.85,2119413.97,20211,TW,Trans World Airways LLC,TW,Trans World Airlines Inc.,0A845,D,3,3,2001,1
76307.00,54992.00,,2012229.00,56817.00,1955412.00,232636.00,151618.00,406173.00,2877138.00,,,,,5311271.00,6270641.00,6292061.00,5289851.00,39148.00,49821.00,412246.00,344759.00,253883.00,5881942.00,,,,16477.00,,1197558.00,1214035.00,9973115.00,278883.00,,,951078.00,81705.00,,112827.00,304506.00,22408.00,236345.00,,,662145.00,2649897.00,856830.00,,162291.00,,343568.00,1362689.00,196020.00,,1261663.00,1457683.00,,,,,,297735.00,297735.00,4205111.00,4502846.00,,4502846.00,9973115.00,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2001,4
84826.00,306720.00,57942.00,115278.00,1362.00,171858.00,34483.00,171926.00,,769813.00,969.00,758.00,144.00,1871.00,1577366.00,282615.00,497234.00,1362747.00,6894.00,131227.00,46704.00,44380.00,34361.00,1557591.00,37710.00,9146.00,28564.00,27323.00,,15815.00,43138.00,2400977.00,,30863.00,,191657.00,1886.00,3031.00,26181.00,33102.00,9498.00,10157.00,,270263.00,108049.00,684687.00,597874.00,,24264.00,13378.00,122216.00,757732.00,144451.00,,132101.00,276552.00,,,1.00,,1.00,324850.00,324851.00,357155.00,682006.00,,682006.00,2400977.00,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,06031,D,3,3,2001,1
88698.35,2000.00,,17184.10,372.96,16811.14,4749.62,8947.08,49651.81,170857.99,,11276.86,43236.38,54513.24,149398.74,17402.20,15824.26,150976.68,,,-3080.86,602.15,354.39,148143.59,,,,,,548.74,548.74,374063.56,3119.16,,,14833.76,,131.45,2478.74,3104.00,203.44,4802.09,,50105.15,46065.18,124842.98,68480.47,,,137.23,12994.58,81612.27,4116.19,,1579.59,5695.78,,,,28.39,28.39,78059.89,78088.28,83824.25,161912.52,,161912.52,374063.56,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,2,2,2001,3
89834.62,2000.00,,22433.35,148.00,22285.35,4902.21,9226.19,48337.08,176585.45,,13058.12,49736.15,62794.27,152528.00,18346.16,20291.69,150582.48,,,-3201.17,602.15,377.62,147605.84,,,,,,541.87,541.87,387527.43,3169.91,,,13557.71,,151.94,3639.93,3343.70,216.12,13018.62,,47915.27,47881.74,132894.94,67666.80,,,101.31,14245.24,82013.35,5467.63,,2325.43,7793.06,,,29.04,,29.04,80064.18,80093.22,84732.87,164826.08,,164826.08,387527.43,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,2,2,2001,4
91324.00,12256.00,,1967798.00,64361.00,1903437.00,239908.00,46523.00,309798.00,2603246.00,,,,,4904362.00,6129936.00,6050253.00,4984045.00,39176.00,43858.00,529160.00,350834.00,254889.00,5692184.00,,,,15734.00,,1305385.00,1321119.00,9616549.00,191830.00,,,917025.00,91901.00,,141101.00,295768.00,22137.00,241222.00,,,732914.00,2633898.00,852359.00,,150989.00,,312352.00,1315700.00,165401.00,,1261398.00,1426799.00,,,,,,297689.00,297689.00,3942463.00,4240152.00,,4240152.00,9616549.00,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,06200,D,3,3,2001,2
100082.05,2000.00,,21777.81,387.12,21390.69,3927.93,11355.71,49738.18,188494.56,,11477.76,49830.47,61308.23,88369.56,13690.78,13301.54,88758.81,,,-355.14,602.15,331.16,88674.66,,,,,,304.73,304.73,338782.17,1024.62,,,17418.75,,128.86,4361.65,3326.57,86.17,8941.87,,68740.31,42654.78,146683.58,22904.98,,,170.59,12242.71,35318.28,2484.71,,618.15,3102.87,,,28.34,,28.34,77103.45,77131.79,76545.66,153677.45,,153677.45,338782.17,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,2,2,2001,2
101935.00,2415778.00,,2423434.00,38067.00,2385367.00,318092.00,296687.00,44861.00,5562720.00,421335.00,1405758.00,950229.00,2777322.00,13881782.00,3405047.00,4636658.00,12650171.00,8477.00,684896.00,765088.00,2790040.00,450091.00,16448581.00,534734.00,351061.00,183673.00,82847.00,,1289748.00,1372595.00,26344891.00,838603.00,,,1322262.00,316907.00,277894.00,299296.00,399357.00,205556.00,78197.00,,1575775.00,3508949.00,8822796.00,6240003.00,52213.00,1379761.00,2050562.00,3017767.00,12740306.00,231777.00,,1042188.00,1273965.00,,,1.00,,1.00,3619016.00,3619017.00,-111193.00,3507824.00,,3507824.00,26344891.00,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2001,3
109251.43,2000.00,,32748.59,367.64,32380.94,3123.79,10849.08,42188.59,199793.82,,11683.66,45680.37,57364.03,35549.93,12988.66,10738.41,37800.18,,,,602.15,302.20,38100.13,,,,,,58.62,58.62,295316.60,,,,21623.07,,125.55,1954.18,2659.47,,834.18,,62663.24,46299.18,136158.87,,,,203.86,12175.23,12379.09,1999.55,,,1999.55,,,28.19,,28.19,75944.83,75973.03,68806.07,144779.09,,144779.09,295316.60,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,2,2,2001,1
